dmc,name,hex,red,green,blue
150,Dusty Rose Ult Vy Dk,AB0249,171,2,73
151,Dusty Rose Vry Lt,F0CED4,240,206,212
152,Shell Pink Med Light,E2A099,226,160,153
153,Violet Very Light,E6CCD9,230,204,217
154,Grape Very Dark,572433,87,36,51
155,Blue Violet Med Dark,9891B6,152,145,182
156,Blue Violet Med Lt,A3AED1,163,174,209
157,Cornflower Blue Vy Lt,BBC3D9,187,195,217
158,Cornflower Blu M V D,4C526E,76,82,110
159,Blue Gray Light,C7CAD7,199,202,215
160,Blue Gray Medium,999FB7,153,159,183
161,Blue Gray,7880A4,120,128,164
162,Blue Ultra Very Light,DBECF5,219,236,245
163,Celadon Green Md,4D8361,77,131,97
164,Forest Green Lt,C8D8B8,200,216,184
165,Moss Green Vy Lt,EFF4A4,239,244,164
166,Moss Green Md Lt,C0C840,192,200,64
167,Yellow Beige V Dk,A77C49,167,124,73
168,Pewter Very Light,D1D1D1,209,209,209
169,Pewter Light,848484,132,132,132
208,Lavender Very Dark,835B8B,131,91,139
209,Lavender Dark,A37BA7,163,123,167
210,Lavender Medium,C39FC3,195,159,195
211,Lavender Light,E3CBE3,227,203,227
221,Shell Pink Vy Dk,﻿883E43,136,62,67
223,Shell Pink Light,CC847C,204,132,124
224,Shell Pink Very Light,EBB7AF,235,183,175
225,Shell Pink Ult Vy Lt,﻿FFDFD5,255,223,213
300,Mahogany Vy Dk,6F2F00,111,47,0
301,Mahogany Med,B35F2B,179,95,43
304,Red Medium,B71F33,183,31,51
307,Lemon,FDED54,253,237,84
309,Rose Dark,BA4A4A,186,74,74
310,Black,﻿000000,0,0,0
311,Wedgewood Ult VyDk,1C5066,28,80,102
312,Baby Blue Very Dark,35668B,53,102,139
315,Antique Mauve Md Dk,814952,129,73,82
316,Antique Mauve Med,B7737F,183,115,127
317,Pewter Gray,6C6C6C,108,108,108
318,Steel Gray Lt,ABABAB,171,171,171
319,Pistachio Grn Vy Dk,205F2E,32,95,46
320,Pistachio Green Med,69885A,105,136,90
321,Red,C72B3B,199,43,59
322,Baby Blue Dark,5A8FB8,90,143,184
326,Rose Very Dark,B33B4B,179,59,75
327,Violet Dark,633666,99,54,102
333,Blue Violet Very Dark,5C5478,92,84,120
334,Baby Blue Medium,739FC1,115,159,193
335,Rose,EE546E,238,84,110
336,Navy Blue,253B73,37,59,115
340,Blue Violet Medium,ADA7C7,173,167,199
341,Blue Violet Light,B7BFDD,183,191,221
347,Salmon Very Dark,BF2D2D,191,45,45
349,Coral Dark,D21035,210,16,53
350,Coral Medium,E04848,224,72,72
351,Coral,E96A67,233,106,103
352,Coral Light,FD9C97,253,156,151
353,Peach,FED7CC,254,215,204
355,Terra Cotta Dark,984436,152,68,54
356,Terra Cotta Med,C56A5B,197,106,91
367,Pistachio Green Dk,617A52,97,122,82
368,Pistachio Green Lt,A6C298,166,194,152
369,Pistachio Green Vy Lt,D7EDCC,215,237,204
370,Mustard Medium,B89D64,184,157,100
371,Mustard,BFA671,191,166,113
372,Mustard Lt,CCB784,204,183,132
400,Mahogany Dark,8F430F,143,67,15
402,Mahogany Vy Lt,F7A777,247,167,119
407,Desert Sand Med,BB8161,187,129,97
413,Pewter Gray Dark,565656,86,86,86
414,Steel Gray Dk,8C8C8C,140,140,140
415,Pearl Gray,D3D3D6,211,211,214
420,Hazelnut Brown Dk,A07042,160,112,66
422,Hazelnut Brown Lt,C69F7B,198,159,123
433,Brown Med,7A451F,122,69,31
434,Brown Light,﻿985E33,152,94,51
435,Brown Very Light,B87748,184,119,72
436,Tan,CB9051,203,144,81
437,Tan Light,E4BB8E,228,187,142
444,Lemon Dark,FFD600,255,214,0
445,Lemon Light,FFFB8B,255,251,139
451,Shell Gray Dark,917B73,145,123,115
452,Shell Gray Med,C0B3AE,192,179,174
453,Shell Gray Light,D7CECB,215,206,203
469,Avocado Green,72843C,114,132,60
470,Avocado Grn Lt,94AB4F,148,171,79
471,Avocado Grn V Lt,AEBF79,174,191,121
472,Avocado Grn U Lt,D8E498,216,228,152
498,Red Dark,A7132B,167,19,43
500,Blue Green Vy Dk,044D33,4,77,51
501,Blue Green Dark,396F52,57,111,82
502,Blue Green,5B9071,91,144,113
503,Blue Green Med,7BAC94,123,172,148
504,Blue Green Vy Lt,C4DECC,196,222,204
505,Jade Green,338362,51,131,98
517,Wedgewood Dark,3B768F,59,118,143
518,Wedgewood Light,4F93A7,79,147,167
519,Sky Blue,7EB1C8,126,177,200
520,Fern Green Dark,666D4F,102,109,79
522,Fern Green,969E7E,150,158,126
523,Fern Green Lt,ABB197,171,177,151
524,Fern Green Vy Lt,C4CDAC,196,205,172
535,Ash Gray Vy Lt,636458,99,100,88
543,Beige Brown Ult Vy Lt,F2E3CE,242,227,206
550,Violet Very Dark,5C184E,92,24,78
552,Violet Medium,803A6B,128,58,107
553,Violet,A3638B,163,99,139
554,Violet Light,DBB3CB,219,179,203
561,Celadon Green VD,2C6A45,44,106,69
562,Jade Medium,53976A,83,151,106
563,Jade Light,8FC098,143,192,152
564,Jade Very Light,A7CDAF,167,205,175
580,Moss Green Dk,888D33,136,141,51
581,Moss Green,A7AE38,167,174,56
597,Turquoise,5BA3B3,91,163,179
598,Turquoise Light,90C3CC,144,195,204
600,Cranberry Very Dark,CD2F63,205,47,99
601,Cranberry Dark,D1286A,209,40,106
602,Cranberry Medium,E24874,226,72,116
603,Cranberry,FFA4BE,255,164,190
604,Cranberry Light,FFB0BE,255,176,190
605,Cranberry Very Light,FFC0CD,255,192,205
606,Orange?Red Bright,FA3203,250,50,3
608,Burnt Orange Bright,FD5D35,253,93,53
610,Drab Brown Dk,796047,121,96,71
611,Drab Brown,967656,150,118,86
612,Drab Brown Lt,BC9A78,188,154,120
